#NWS FLOOD STAGES with USGS ID'S
#Tediously Assembled By: Warren Pettee (Github: WEP11, Twitter: @wpettee)
#Probably by no means complete?

NWS ID, USGS ID, Action, Minor, Moderate, Major, Stage Units, Site Name, State
POLA3, 09400568,nan,nan,nan,nan,ft,Second Mesa,AZ
PNTA3, 09484600,8,nan,nan,nan,ft,Vail,AZ
PLFA3, 09382000,nan,nan,nan,nan,ft,Lees Ferry,AZ
OAKA3, 09504420,7,14,17,20,ft,Sedona,AZ
OACA3, 09504500,7,8,12,18,ft,Cornville,AZ
MOEA3, 09401260,24,25.5,26.4,27.4,ft,Tuba city,AZ
LHBA3, 09397000,nan,15.5,nan,25,ft,Holbrook,AZ
LESA3, 09537200,6,nan,nan,nan,ft,McNeal,AZ
LCWA3, 09400350,17,19,22,25,ft,Winslow,AZ
LCSA3, 09385700,11,13,15,17,ft,St Johns,AZ
LCRA3, 09383400,nan,nan,nan,nan,ft,Greer,AZ
LCLA3, 09384000,nan,12,16,20,ft,Lyman Lake,AZ
LCJA3, 09397300,7.5,9,11,14,ft,Joseph City,AZ
LCCA3, 09402000,nan,nan,nan,nan,ft,Cameron,AZ
HSTA3, 09517000,15,17,20,25,ft,Arlington,AZ
HAMA3, 09516500,15,17,18,19,ft,Morristown,AZ
GRMA3, 09479350,5,6,7,8,ft,Maricopa,AZ
GRCA3, 09503000,nan,11,13,19,ft,Prescott,AZ
GLKA3, 09474000,23.8,25.6,30,34.6,ft,Kelvin,AZ
GLHA3, 09448500,13,17,20,21,ft,Solomon,AZ
GLCA3, 09466500,15,20,24,27,ft,Calva,AZ
GIDA3, 09520500,20,24,26,30,ft,Dome,AZ
FCSA3, 09507480,nan,nan,nan,nan,ft,Strawberry,AZ
EWFA3, 09492400,nan,nan,nan,nan,ft,Fort Apache,AZ
EVDA3, 09507980,nan,nan,nan,nan,ft,Childs,AZ
ECMA3, 09447000,10,15,17,18,ft,Morenci,AZ
DUUA3, 09439000,16,20,21,22,ft,Duncan,AZ
DINA3, 09401110,nan,nan,nan,nan,ft,Sand Springs,AZ
DBVA3, 09505350,12,12,15,18,ft,Rimrock,AZ
CSCA3, 09486500,17.2,18.5,19.5,20.7,ft,Cortaro,AZ
CRZA3, 09496500,7,15,17,21,ft,Show Low,AZ
CRCA3, 09404104,nan,nan,nan,nan,ft,Redlands Crossing,AZ
CNEA3, 09484550,10.5,nan,nan,nan,ft,Sonoita,AZ
CLFA3, 09380000,nan,nan,nan,nan,ft,Lees Ferry,AZ
CLDA3, 09469000,2511,2515,2521,2523,ft,Coolidge Dam,AZ
CHWA3, 09397500,nan,nan,nan,nan,ft,Winslow,AZ
CHRA3, 09497980,15,17,18.2,19.3,ft,Globe,AZ
CGCA3, 09402500,nan,nan,nan,nan,ft,Grand Canyon Village,AZ
CDOA3, 09486350,17,nan,nan,nan,ft,Ina Road,AZ
CCMA3, 09379200,nan,nan,nan,nan,ft,Mexican Water,AZ
CCHA3, 09404107,nan,7.5,10,13,ft,Heather Wash,AZ
CAVA3, 09512280,6,9,15,22,ft,Cave Creek,AZ
BWTA3, 09487000,13,15,16,18,ft,Three Points,AZ
BRTA3, 09509502,nan,nan,nan,nan,ft,Bartlett Lake,AZ
BNMA3, 09447800,11,13,16,18,ft,Morenci,AZ
BCBA3, 09424447,nan,nan,nan,nan,ft,Hwy 93 Bridge,AZ
BABA3, 09471400,4,nan,nan,nan,ft,Tombstone,AZ
ATPA3, 09486800,14,nan,nan,nan,ft,Three Points,AZ
ARVA3, 09473000,10.8,12.8,15.8,16,ft,Mammoth,AZ
ALMA3, 09426000,1235,1235,nan,1265,ft,Alamo Lake,AZ
AFRA3, 09512800,15,16,19,24,ft,Rock Springs,AZ
AFMA3, 09512500,nan,nan,nan,nan,ft,Mayer,AZ
AFHA3, 09512450,nan,nan,nan,nan,ft,Humboldt,AZ
WCRM7, 07052100,5,7,12,18,ft,Springfield,MO
VBUA4, 07250500,22,22,26,31,ft,Van Buren,AR
VBRA4, 07250085,399,401,404,405,ft,Van Buren LCR,AR
TODA4, 07261260,273,275,278,280,ft,Toad Suck L&amp;D,AR
SJOA4, 07056000,20,27,35,50,ft,St Joe,AR
SFRA4, 07040100,19,22,27,31,ft,St. Francis,AR
